timestamp,city,location_name,latitude,longitude,requests,drivers,weather,event,base_fare,actual_price_paid
2025-11-09 03:11:41,Delhi,Saket,28.528140266669936,77.20633073704187,69,53,Clear,None,314.16,314.16
2025-11-23 14:26:41,Delhi,IGI Airport,28.553909865072487,77.10217581744061,76,75,Smog/Haze,None,166.77,166.77
2025-12-11 23:10:41,Delhi,IGI Airport,28.5601074421009,77.09672809483143,62,45,Clear,None,84.07,84.07
2025-10-14 00:29:41,Delhi,IGI Airport,28.557579648682683,77.10747257609363,79,45,Clear,None,312.17,391.95
2025-11-04 02:58:41,Mumbai,Bandra Kurla Complex,19.063179213737747,72.86318528271119,71,61,Smog/Haze,Office Rush,181.92,181.92
2025-11-14 13:59:41,Delhi,Saket,28.526934755517644,77.22442794680367,110,45,Monsoon Rain,None,133.91,327.34
2025-10-23 11:41:41,Bangalore,Koramangala,12.939153358264704,77.62790000947004,110,68,Monsoon Rain,None,179.24,289.95
2025-12-01 23:07:41,Bangalore,Electronic City,12.841820289222092,77.67675453751048,75,45,Clear,None,239.98,279.98
2025-10-30 12:19:41,Delhi,Noida Sector 18,28.569141114324733,77.32355391010955,54,33,Clear,None,255.5,290.35
2025-10-20 09:03:41,Bangalore,MG Road,12.968766562352107,77.60382487060733,126,47,Monsoon Rain,IPL Match,194.09,675.6
2025-11-21 15:53:41,Mumbai,CSMT,18.94151754971813,72.84517297649461,108,46,Monsoon Rain,None,222.17,521.62
2025-12-02 07:45:41,Mumbai,Juhu Beach,19.099372053208185,72.82610791263245,55,60,Clear,None,357.97,357.97
2025-11-25 05:55:41,Delhi,Saket,28.525914386753165,77.22918438494378,62,45,Clear,Office Rush,126.35,126.35
2025-10-25 14:21:41,Mumbai,CSMT,18.93722806280603,72.84162106486654,84,89,Clear,Office Rush,158.58,158.58
2025-11-09 22:02:41,Bangalore,MG Road,12.975371398668985,77.6059856686219,75,46,Clear,Office Rush,364.95,412.56
2025-11-27 00:44:41,Mumbai,Juhu Beach,19.096548285426355,72.82466238565979,70,45,Humid,None,166.64,175.9
2025-11-09 14:37:41,Delhi,Saket,28.522440548828875,77.21780953464837,80,58,Clear,None,165.08,165.08
2025-10-23 19:45:41,Delhi,Noida Sector 18,28.574549020152304,77.32398936751304,237,161,Humid,Diwali Rush,124.39,124.39
2025-10-29 00:54:41,Bangalore,Koramangala,12.92422769407093,77.62714832871472,49,45,Clear,None,375.55,375.55
2025-12-03 09:11:41,Delhi,IGI Airport,28.554096501181682,77.10573655867309,150,108,Clear,Diwali Rush,347.96,347.96
2025-11-05 12:28:41,Delhi,Saket,28.52508653511855,77.21867612636296,46,26,Clear,None,120.72,153.22
2025-10-15 15:19:41,Mumbai,Andheri,19.113174513705214,72.86417092111465,66,64,Smog/Haze,None,293.03,293.03
2025-11-21 18:38:41,Delhi,Connaught Place,28.63274951942406,77.21832381874447,96,65,Clear,None,209.04,209.04
2025-11-29 19:25:41,Delhi,Saket,28.524908878864846,77.22534173413322,111,119,Clear,None,289.22,289.22
2025-11-30 20:52:41,Bangalore,MG Road,12.978898162736622,77.6052883054676,144,86,Clear,None,333.73,391.94
2025-12-08 03:47:41,Delhi,Gurgaon Cyber Hub,28.495790323155894,77.09207360078666,97,35,Monsoon Rain,Office Rush,218.04,604.27
2025-10-22 02:00:41,Mumbai,Nariman Point,18.919921643648035,72.82296688148499,50,46,Clear,None,221.31,221.31
2025-12-02 13:32:41,Mumbai,Andheri,19.115173891104085,72.88123718857226,65,46,Clear,None,298.64,298.64
2025-10-26 05:18:41,Mumbai,CSMT,18.93836573047636,72.83412530096055,83,53,Clear,None,260.77,277.99
2025-12-02 18:41:41,Delhi,IGI Airport,28.559761008305394,77.10498621115664,99,82,Clear,None,254.17,254.17
2025-10-24 18:46:41,Delhi,Connaught Place,28.630211666647014,77.22185766514951,99,67,Clear,None,223.41,223.41
2025-10-14 00:05:41,Mumbai,Bandra Kurla Complex,19.0584955299922,72.8705793370839,122,53,Monsoon Rain,None,125.52,288.93
2025-11-20 11:08:41,Delhi,IGI Airport,28.563346000425273,77.10250242594202,44,28,Humid,None,276.48,296.23
2025-11-25 19:04:41,Bangalore,Electronic City,12.84242268938289,77.66900373206586,230,152,Clear,None,125.8,127.45
2025-10-14 02:18:41,Delhi,Gurgaon Cyber Hub,28.50924572408669,77.09809682316691,57,30,Clear,None,188.58,264.01
2025-11-16 06:28:41,Bangalore,MG Road,12.977188042281332,77.5945091583221,77,66,Clear,None,78.16,78.16
2025-11-21 09:42:41,Bangalore,MG Road,12.978542333016867,77.59637007009925,58,54,Humid,None,175.49,175.49
2025-12-04 01:51:41,Delhi,IGI Airport,28.550248959269265,77.11137160370373,127,39,Monsoon Rain,None,287.29,935.55
2025-12-07 05:20:41,Bangalore,Electronic City,12.850183394256323,77.66653586057441,69,35,Humid,None,200.39,294.86
2025-10-20 20:15:41,Delhi,Saket,28.524958846193,77.20803957761261,106,81,Clear,None,168.39,168.39
2025-10-14 23:20:41,Bangalore,Whitefield,12.969186709943227,77.7445286291124,52,34,Clear,None,386.57,397.94
2025-12-02 12:23:41,Bangalore,MG Road,12.977379217672194,77.59762699403757,64,38,Humid,None,128.46,152.13
2025-12-10 06:44:41,Mumbai,CSMT,18.926629159626607,72.83848525571013,50,49,Clear,None,142.31,142.31
2025-11-12 00:25:41,Bangalore,Indiranagar,12.979717661551259,77.63193850699275,54,56,Clear,None,162.86,162.86
