timestamp,location_name,requests,drivers,weather,event,base_fare,actual_price_paid
2025-11-23 10:18:40,Mall,73,36,Rainy,None,123,229.05
2025-11-23 14:06:40,Airport,102,121,Clear,None,132,132.0
2025-11-26 04:32:40,Suburbs,52,40,Clear,None,115,124.2
2025-11-12 14:12:40,City Center,125,86,Rainy,None,117,164.13
2025-11-19 20:10:40,Mall,68,65,Clear,None,107,107.0
2025-12-10 22:17:40,Mall,46,42,Clear,None,128,128.0
2025-11-17 05:36:40,Suburbs,86,81,Clear,Sports,139,139.0
2025-11-29 07:39:40,Suburbs,57,52,Clear,None,140,140.0
2025-12-08 21:07:40,Tech Park,129,77,Clear,Conference,110,151.83
2025-11-27 17:45:40,Tech Park,184,98,Rainy,None,106,184.66
2025-11-18 06:55:40,Airport,65,67,Clear,None,139,139.0
2025-11-20 01:48:40,Tech Park,55,51,Clear,None,113,113.0
2025-11-30 03:09:40,City Center,132,120,Rainy,None,148,177.6
2025-12-11 07:06:40,Suburbs,72,40,Rainy,None,112,188.16
2025-11-23 17:01:40,City Center,245,275,Clear,Sports,127,127.0
2025-11-14 23:30:40,Suburbs,40,45,Foggy,None,100,100.0
2025-11-13 08:49:40,Suburbs,48,32,Foggy,None,143,177.32
2025-11-12 22:06:40,Mall,54,63,Clear,None,111,111.0
2025-11-29 02:01:40,Suburbs,62,39,Clear,None,136,178.4
2025-12-09 06:46:40,Mall,44,46,Clear,None,116,116.0
2025-11-30 01:25:40,Tech Park,93,100,Clear,Conference,108,108.0
2025-12-11 16:50:40,Suburbs,66,53,Rainy,None,118,145.87
2025-11-20 09:14:40,Airport,67,45,Clear,None,127,156.35
2025-11-18 02:23:40,City Center,73,79,Cloudy,None,148,148.0
2025-11-13 21:12:40,Mall,87,66,Cloudy,None,118,129.16
2025-11-22 23:34:40,Tech Park,71,82,Foggy,None,135,135.0
2025-12-11 21:48:40,Airport,98,87,Clear,None,134,134.0
2025-12-02 08:26:40,Tech Park,108,119,Clear,None,116,116.0
2025-11-15 17:58:40,Suburbs,83,98,Clear,None,144,144.0
2025-11-18 12:57:40,Tech Park,70,49,Rainy,None,104,143.82
2025-12-01 15:46:40,Tech Park,53,61,Clear,None,128,128.0
2025-11-24 13:56:40,Mall,63,74,Clear,None,134,134.0
2025-11-12 22:42:40,Tech Park,58,40,Clear,None,124,148.8
2025-12-05 04:48:40,Mall,57,54,Rainy,None,101,121.2
2025-11-23 22:41:40,City Center,84,78,Clear,None,141,141.0
2025-11-25 18:53:40,Suburbs,60,58,Clear,None,119,119.0
2025-11-14 02:31:40,City Center,93,88,Clear,None,131,131.0
2025-11-20 01:49:40,Airport,80,49,Clear,None,114,153.46
2025-12-03 02:52:40,Suburbs,49,35,Clear,None,129,149.64
2025-11-15 08:05:40,Airport,61,52,Clear,None,125,125.0
2025-11-30 00:59:40,City Center,101,116,Clear,None,146,146.0
2025-11-17 21:08:40,City Center,198,196,Clear,Sports,104,104.0
2025-11-18 02:33:40,City Center,59,65,Clear,None,104,104.0
2025-12-03 05:22:40,City Center,107,84,Rainy,None,109,137.24
2025-11-22 05:32:40,Airport,87,96,Clear,None,104,104.0
2025-11-23 19:47:40,City Center,168,139,Clear,None,132,132.91
2025-11-15 05:43:40,Tech Park,68,49,Foggy,None,128,147.23
2025-11-26 16:34:40,City Center,85,67,Clear,None,125,131.87
2025-11-23 02:08:40,City Center,82,80,Foggy,None,128,128.0
2025-11-17 16:46:40,Tech Park,42,45,Foggy,None,148,148.0
2025-11-24 14:49:40,Suburbs,47,52,Clear,None,148,148.0
2025-11-26 10:53:40,Tech Park,158,138,Rainy,None,121,145.2
2025-11-12 22:41:40,City Center,141,165,Clear,Festival,130,130.0
2025-12-04 21:30:40,Suburbs,99,79,Rainy,None,135,167.74
2025-11-13 06:30:40,Tech Park,35,30,Clear,None,122,122.0
2025-11-18 15:47:40,Suburbs,56,36,Clear,None,106,136.15
2025-11-27 12:20:40,Tech Park,54,35,Clear,None,118,150.37
2025-12-02 02:38:40,Suburbs,56,36,Clear,None,143,183.68
2025-12-08 21:32:40,Tech Park,73,61,Clear,None,119,119.0
2025-11-21 13:39:40,Tech Park,63,44,Rainy,None,124,171.8
2025-12-05 18:54:40,Suburbs,70,80,Clear,None,136,136.0
2025-11-30 09:29:40,Airport,76,91,Clear,None,102,102.0
2025-11-25 17:10:40,Tech Park,208,138,Cloudy,Festival,107,133.3
2025-11-18 22:40:40,City Center,82,97,Clear,None,126,126.0
2025-12-10 07:03:40,City Center,74,47,Clear,None,105,136.46
2025-11-16 10:16:40,Suburbs,97,82,Clear,Concert,100,100.0
2025-12-06 17:44:40,Mall,87,96,Clear,None,112,112.0
2025-11-26 14:47:40,Suburbs,58,50,Clear,None,145,145.0
2025-12-06 15:19:40,Mall,89,57,Rainy,None,107,159.34
2025-11-22 12:32:40,Suburbs,55,64,Clear,None,129,129.0
2025-11-29 07:48:40,Tech Park,58,57,Clear,None,110,110.0
2025-11-23 10:04:40,Airport,88,57,Cloudy,None,133,169.59
2025-11-24 18:18:40,Suburbs,113,115,Clear,Concert,128,128.0
2025-12-10 02:34:40,Suburbs,36,35,Foggy,None,101,101.0
2025-11-15 10:43:40,City Center,97,92,Clear,None,110,110.0
2025-11-20 13:00:40,Airport,68,61,Clear,None,131,131.0
2025-11-19 12:24:40,Airport,66,40,Clear,None,105,142.8
2025-12-09 15:27:40,Suburbs,46,30,Foggy,None,146,184.93
2025-11-16 02:23:40,Airport,81,90,Clear,None,107,107.0
2025-11-22 07:21:40,City Center,95,78,Clear,None,123,124.77
2025-11-24 02:11:40,City Center,85,89,Clear,None,144,144.0
2025-12-10 13:04:40,Suburbs,55,51,Clear,None,116,116.0
2025-12-03 05:49:40,City Center,76,61,Clear,None,140,145.14
2025-12-01 00:37:40,Suburbs,72,47,Rainy,None,136,199.31
2025-11-25 17:46:40,Airport,97,67,Clear,None,147,176.14
2025-12-01 07:22:40,Tech Park,34,34,Clear,None,123,123.0
2025-12-08 22:13:40,Tech Park,80,87,Clear,Concert,101,101.0
2025-11-13 01:09:40,Suburbs,54,56,Clear,None,111,111.0
2025-11-13 21:11:40,Airport,93,85,Clear,None,132,132.0
2025-11-12 11:12:40,Suburbs,54,36,Clear,None,108,133.92
2025-11-25 19:19:40,City Center,130,144,Clear,None,143,143.0
2025-12-12 06:32:40,City Center,165,137,Rainy,Sports,121,145.62
2025-11-16 14:14:40,Tech Park,67,47,Foggy,None,118,139.29
2025-11-29 01:53:40,Airport,86,74,Cloudy,None,139,139.0
2025-12-02 00:36:40,Tech Park,68,44,Rainy,None,146,215.55
2025-11-25 05:24:40,City Center,78,80,Clear,None,141,141.0
2025-11-27 16:54:40,City Center,87,104,Foggy,None,132,132.0
2025-12-04 18:57:40,Tech Park,160,128,Clear,None,137,142.48
2025-11-28 22:13:40,Suburbs,50,44,Clear,None,103,103.0
2025-12-07 05:22:40,Tech Park,61,58,Clear,None,119,119.0
2025-11-21 00:01:40,Mall,48,46,Clear,None,125,125.0
2025-11-19 16:03:40,City Center,86,56,Clear,None,147,186.48
2025-12-09 08:30:40,Airport,79,41,Rainy,None,140,249.4
